                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.73032,                  1.123,                  1.115,                  1.074,                0.63721,                0.60766,                0.62797,                0.49418,                0.63138,                0.60287,                0.62261,                0.50597,                0.87055,                 1.4063,                 1.3673,                 1.2284,               0.007723,               0.007723,               0.007723
                     25,                0.73689,                 1.1397,                 1.1305,                 1.0806,                0.68628,                0.55502,                0.61988,                0.48511,                0.71454,                0.55024,                0.62066,                0.49939,                0.87186,                 1.5013,                 1.3157,                 1.2158,               0.007624,               0.007624,               0.007624
                     26,                0.70237,                 1.0809,                 1.0909,                 1.0545,                0.64661,                0.60766,                0.61024,                0.47336,                0.64661,                0.60766,                 0.6097,                0.50349,                0.85869,                 1.5494,                 1.3725,                 1.2172,               0.007525,               0.007525,               0.007525
                     27,                 0.6943,                0.98317,                 1.0836,                 1.0497,                0.61772,                 0.6108,                0.60447,                0.47834,                0.60723,                0.62201,                0.60432,                0.50889,                0.84479,                 1.4955,                 1.3307,                 1.1775,               0.007426,               0.007426,               0.007426
                     28,                0.67589,                0.98979,                 1.0726,                 1.0457,                0.63944,                0.55157,                0.57798,                0.44899,                0.64449,                0.55513,                0.57985,                0.46828,                0.86759,                 1.4651,                 1.3769,                 1.2229,               0.007327,               0.007327,               0.007327
                     29,                0.68191,                 1.0303,                 1.0591,                 1.0398,                0.64927,                0.59809,                0.61337,                0.48904,                0.65447,                0.60287,                0.62498,                0.51891,                0.81723,                 1.3786,                 1.3703,                 1.1786,               0.007228,               0.007228,               0.007228
                     30,                0.68221,                0.98534,                  1.056,                 1.0395,                0.64828,                0.61734,                 0.6234,                 0.5019,                0.65078,                0.60766,                0.62202,                0.53054,                0.77635,                 1.3783,                 1.3123,                  1.158,               0.007129,               0.007129,               0.007129
                     31,                0.66259,                0.97884,                 1.0263,                 1.0361,                0.55663,                0.62201,                0.58361,                0.46997,                0.56726,                0.63158,                0.60323,                0.49895,                0.80656,                  1.442,                 1.3214,                 1.1743,                0.00703,                0.00703,                0.00703
                     32,                0.67656,                0.99618,                 1.0441,                 1.0436,                0.70089,                0.62787,                0.63571,                0.52324,                0.70089,                0.62787,                0.63486,                0.53938,                0.79049,                 1.4441,                 1.2218,                 1.1614,               0.006931,               0.006931,               0.006931
                     33,                 0.6885,                 1.0166,                 1.0158,                 1.0572,                0.67454,                0.56938,                 0.6065,                0.49585,                0.68021,                0.57416,                0.61007,                0.51785,                0.81455,                 1.2961,                 1.2679,                 1.1741,               0.006832,               0.006832,               0.006832
                     34,                0.66331,                0.98655,                 0.9998,                 1.0346,                0.67257,                0.56938,                0.61725,                0.50664,                0.67257,                0.56938,                0.62056,                0.53166,                0.79838,                 1.2625,                 1.2855,                  1.169,               0.006733,               0.006733,               0.006733
                     35,                0.66327,                0.96133,                  1.001,                 1.0333,                0.71372,                0.55024,                0.60976,                0.49042,                 0.7215,                0.54067,                0.60598,                0.50252,                 0.7693,                 1.4032,                 1.3406,                 1.1463,               0.006634,               0.006634,               0.006634
                     36,                0.64155,                0.92129,                0.96959,                  1.016,                0.71506,                0.56434,                0.59873,                0.47143,                0.72095,                0.56863,                0.60047,                0.50708,                0.79474,                 1.5012,                 1.2934,                 1.1787,               0.006535,               0.006535,               0.006535
                     37,                0.62579,                0.93121,                0.97164,                  1.004,                0.69959,                0.57416,                0.62129,                0.50288,                0.71125,                0.58373,                0.63528,                0.51817,                0.80765,                 1.4365,                 1.3202,                 1.1708,               0.006436,               0.006436,               0.006436
                     38,                0.62451,                0.91248,                0.97314,                 1.0063,                0.65937,                0.56498,                0.62891,                0.50127,                0.63559,                0.58852,                0.63021,                 0.5239,                0.81659,                 1.3282,                 1.2828,                 1.1963,               0.006337,               0.006337,               0.006337
                     39,                0.61294,                0.93383,                0.90833,                0.99595,                 0.7284,                0.53589,                0.63615,                0.51733,                0.62407,                 0.6116,                 0.6413,                0.53938,                0.78037,                 1.4466,                 1.2835,                 1.1652,               0.006238,               0.006238,               0.006238
                     40,                 0.6226,                0.88466,                0.93063,                 1.0131,                0.65025,                0.58852,                0.57714,                0.46702,                0.65716,                 0.5933,                0.58067,                 0.4907,                0.77404,                 1.4173,                 1.2819,                  1.153,               0.006139,               0.006139,               0.006139
